,City,Cloudiness,Country Code,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Sinnamary,20,GF,1547338348,95,5.38,-52.96,78.88,10.02
1,Albany,40,US,1547337420,42,42.65,-73.75,19.94,10.29
2,Rikitea,68,PF,1547338279,100,-23.12,-134.97,79.15,12.44
3,Avarua,75,CK,1547337600,70,-21.21,-159.78,86.0,11.41
4,Hobart,0,AU,1547335800,37,-42.88,147.33,66.2,5.82
5,Vaini,0,IN,1547338349,82,15.34,74.49,57.28,3.71
6,Mataura,88,NZ,1547338350,100,-46.19,168.86,55.08,3.6
7,Sambava,64,MG,1547338350,100,-14.27,50.17,79.15,6.06
8,Torbay,90,CA,1547334000,74,47.66,-52.73,30.2,14.99
9,Busselton,8,AU,1547338350,100,-33.64,115.35,67.36,17.18
10,Vaitape,92,PF,1547338351,100,-16.52,-151.75,82.03,24.85
11,Leningradskiy,20,RU,1547338351,100,69.38,178.42,-18.59,8.79
12,Narsaq,88,GL,1547337000,86,60.91,-46.05,30.2,4.7
13,Ushuaia,40,AR,1547334000,65,-54.81,-68.31,44.6,39.15
14,Belaya Gora,44,RU,1547338352,93,68.54,146.19,-41.0,3.2
15,Orange Cove,40,US,1547337360,49,36.62,-119.31,62.96,9.17
16,Yellowknife,20,CA,1547334000,83,62.45,-114.38,-7.61,10.29
17,Yeppoon,90,AU,1547335800,61,-23.13,150.74,82.4,9.17
18,Nikolskoye,0,RU,1547335800,92,59.7,30.79,15.8,8.95
19,Jamestown,0,AU,1547338354,28,-33.21,138.6,79.92,12.88
20,Hermanus,12,ZA,1547338354,81,-34.42,19.24,58.0,9.08
21,Ribeira Grande,36,PT,1547338355,97,38.52,-28.7,62.14,21.83
22,Okhotsk,0,RU,1547338355,100,59.36,143.24,-7.84,9.35
23,Mantua,40,IT,1547337300,92,45.16,10.79,32.0,1.12
24,Cherskiy,48,RU,1547338356,50,68.75,161.3,-16.93,2.08
25,Namibe,0,AO,1547338356,100,-15.19,12.15,73.53,8.12
26,Salinopolis,80,BR,1547338356,100,-0.61,-47.36,78.79,10.42
27,Cape Town,20,ZA,1547334000,82,-33.93,18.42,62.6,9.17
28,Zheleznodorozhnyy,90,RU,1547335800,85,55.75,38.0,15.8,4.47
29,Mahebourg,40,MU,1547334000,78,-20.41,57.7,78.8,11.41
30,Airai,8,TL,1547338358,73,-8.93,125.41,78.75,0.96
31,Saint-Augustin,90,FR,1547335800,93,44.83,-0.61,46.4,9.17
32,Jiangyou,8,CN,1547338358,76,31.78,104.73,24.12,4.61
33,Butaritari,56,KI,1547338358,100,3.07,172.79,83.47,8.79
34,Natal,40,BR,1547334000,74,-5.81,-35.21,80.6,8.05
35,Faanui,92,PF,1547338359,100,-16.48,-151.75,81.85,22.95
36,Dingle,48,PH,1547338359,82,11.0,122.67,77.58,13.33
37,Puerto Ayora,40,EC,1547334000,62,-0.74,-90.35,84.2,19.46
38,Upernavik,36,GL,1547338360,100,72.79,-56.15,-5.45,9.64
39,Arraial do Cabo,0,BR,1547338360,88,-22.97,-42.02,77.22,16.4
40,Katherine,90,AU,1547335800,83,-14.47,132.26,78.8,2.24
41,Antofagasta,75,CL,1547334000,77,-23.65,-70.4,66.2,14.99
42,Mount Pleasant,90,US,1547337360,68,33.16,-94.97,45.14,11.41
43,Bereda,75,ES,1547335800,76,43.27,-7.54,50.0,5.82
44,Joue-les-Tours,90,FR,1547335800,93,47.35,0.67,48.2,10.29
45,Port Hardy,90,CA,1547334000,76,50.7,-127.42,48.2,21.92
46,Punta Arenas,40,CL,1547334000,57,-53.16,-70.91,50.0,34.45
47,Astoria,1,US,1547333700,45,46.19,-123.83,57.92,8.05
48,Walvis Bay,0,NA,1547334000,87,-22.95,14.51,60.8,3.36
49,Kodiak,90,US,1547337300,95,39.95,-94.76,32.0,13.87
50,Bluff,0,AU,1547338365,47,-23.58,149.07,84.64,10.42
51,Pangoa,68,PE,1547338365,100,-12.12,-73.0,65.65,0.81
52,Nehoiu,0,RO,1547338365,69,45.42,26.3,15.07,3.04
53,Geraldton,20,CA,1547334000,58,49.72,-86.95,-2.21,2.48
54,Bathsheba,20,BB,1547334000,69,13.22,-59.52,77.0,11.41
55,Basco,90,US,1547337300,92,40.33,-91.2,30.2,12.75
56,Abong Mbang,12,CM,1547338410,74,3.98,13.18,66.42,1.97
57,Saskylakh,0,RU,1547338410,0,71.97,114.09,-55.49,4.61
58,Dikson,80,RU,1547338411,99,73.51,80.55,-16.93,32.46
59,Lata,92,IN,1547338411,100,30.78,78.62,31.99,1.52
60,Tura,0,IN,1547338411,81,25.52,90.21,50.8,5.73
61,Porbandar,0,IN,1547338412,93,21.64,69.61,63.67,12.93
62,Calexico,75,US,1547337360,51,32.68,-115.5,64.4,4.7
63,Ngunguru,20,NZ,1547338412,90,-35.62,174.5,70.92,9.08
64,Norman Wells,20,CA,1547334000,66,65.28,-126.83,-29.21,2.24
65,Fortuna,0,ES,1547335800,69,38.18,-1.13,39.2,6.93
66,Chany,32,RU,1547338413,73,55.31,76.76,-2.3,11.36
67,Farmington,90,US,1547337180,59,36.73,-108.21,39.02,4.7
68,Daugavpils,68,LV,1547338414,91,55.88,26.53,25.6,7.29
69,Necochea,36,AR,1547338242,76,-38.55,-58.74,70.65,2.19
70,Sao Filipe,32,CV,1547338414,99,14.9,-24.5,71.73,9.24
71,Homer,90,US,1547338200,87,59.64,-151.54,24.08,4.7
72,Ponta do Sol,32,BR,1547338415,84,-20.63,-46.0,71.05,2.86
73,Kapaa,40,US,1547334480,66,22.08,-159.32,80.06,8.05
74,Caravelas,48,BR,1547338416,100,-17.73,-39.27,80.5,12.1
75,Hasaki,20,JP,1547335800,80,35.73,140.83,39.2,10.29
76,Alofi,44,NU,1547334000,70,-19.06,-169.92,84.2,13.87
77,Lavrentiya,8,RU,1547338417,100,65.58,-170.99,-11.08,26.46
78,Zafra,0,ES,1547338417,76,38.43,-6.42,27.13,4.5
79,Ati,0,TD,1547338417,29,13.21,18.34,67.9,7.0
80,Rumonge,44,BI,1547338417,100,-3.97,29.44,70.02,0.85
81,Belyy Yar,0,RU,1547335800,75,53.6,91.39,-13.01,3.27
82,Rawson,20,AR,1547338418,24,-43.3,-65.11,72.76,7.9
83,Paris,90,FR,1547332200,81,48.86,2.35,48.2,9.17
84,Esperance,20,TT,1547334000,78,10.24,-61.45,77.0,4.7
85,Dicabisagan,68,PH,1547338419,100,17.08,122.42,71.77,6.06
86,Ilhabela,0,BR,1547338419,100,-23.78,-45.36,79.51,9.91
87,Kingaroy,75,AU,1547334000,57,-26.54,151.84,77.0,14.99
88,Hovd,75,NO,1547337000,100,63.83,10.7,33.8,10.29
89,Hilo,1,US,1547333580,58,19.71,-155.08,80.06,11.41
90,Longyearbyen,20,NO,1547337000,55,78.22,15.63,6.8,16.11
91,Tadine,48,NC,1547338421,94,-21.55,167.88,79.69,20.94
92,Tuktoyaktuk,20,CA,1547334000,74,69.44,-133.03,-25.61,11.41
93,Castro,90,CL,1547334000,66,-42.48,-73.76,53.6,5.82
94,Bredasdorp,0,ZA,1547337600,63,-34.53,20.04,66.2,8.05
95,Tasiilaq,36,GL,1547337000,72,65.61,-37.64,17.6,5.82
96,Ozinki,80,RU,1547338423,90,51.2,49.73,25.33,11.03
97,Nelson Bay,90,AU,1547335800,74,-32.72,152.14,78.8,19.46
98,Cabo San Lucas,20,MX,1547336700,78,22.89,-109.91,73.4,3.36
99,Kefamenanu,8,ID,1547338424,85,-9.45,124.48,76.27,2.19
100,Banda Aceh,0,ID,1547338424,97,5.56,95.32,72.72,4.76
101,Korem,0,ET,1547338424,61,12.51,39.52,31.5,1.3
102,Chapais,90,CA,1547336100,77,49.78,-74.86,-0.41,6.93
103,Provideniya,8,RU,1547338425,100,64.42,-173.23,-11.12,19.04
104,Guerrero Negro,68,MX,1547338425,73,27.97,-114.04,63.18,4.5
105,Barrow,76,AR,1547338470,94,-38.31,-60.23,65.38,5.5
106,Lebu,0,ET,1547334000,36,8.96,38.73,48.2,1.12
